
instructor.o:     file format elf64-x86-64
 0da0 48984889 c64889d7 e8000000 0048c700  H.H..H.......H..
 0db0 00000000 488b45f8 488b0048 83c01048  ....H.E.H..H...H
 0dc0 8b008b55 d88b75dc 488b4df8 4889cfff  ...U..u.H.M.H...
 0dd0 d090c9c3 554889e5 4883ec30 48897de8  ....UH..H..0H.}.
 0de0 8975e489 55e0894d dc448945 d8488b45  .u..U..M.D.E.H.E
 0df0 e8488d50 188b45e4 48984889 c64889d7  .H.P..E.H.H..H..
 0e00 e8000000 004889c2 8b45e048 984889c6  .....H...E.H.H..
 0e10 4889d7e8 00000000 488b0048 8945f848  H.......H..H.E.H
 0e20 837df800 743b488b 45f84889 c7e80000  .}..t;H.E.H.....
 0e30 000089c2 488b45e8 8b401039 c275228b  ....H.E..@.9.u".
 0e40 7dd88b4d dc8b55e0 8b75e448 8b45e841  }..M..U..u.H.E.A
 0e50 89f84889 c7e80000 000083f0 0184c074  ..H............t
 0e60 07b80100 0000eb05 b8000000 0084c074  ...............t
 0e70 07b80000 0000eb3e 8b7dd88b 4ddc8b55  .......>.}..M..U
 0e80 e08b75e4 488b45e8 4189f848 89c7e800  ..u.H.E.A..H....
 0e90 00000048 8b45e88b 401085c0 7507ba01  ...H.E..@...u...
 0ea0 000000eb 05ba0000 0000488b 45e88950  ..........H.E..P
 0eb0 10b80100 0000c9c3 554889e5 4883ec30  ........UH..H..0
 0ec0 48897de8 8975e489 55e0894d dc448945  H.}..u..U..M.D.E
 0ed0 d88b45e4 3b45dc75 128b45e0 3b45d875  ..E.;E.u..E.;E.u
 0ee0 0ab80000 0000e9eb 00000048 8b45e848  ...........H.E.H
 0ef0 8d50188b 45e44898 4889c648 89d7e800  .P..E.H.H..H....
 0f00 00000048 89c28b45 e0489848 89c64889  ...H...E.H.H..H.
 0f10 d7e80000 0000488b 00488945 f848837d  ......H..H.E.H.}
 0f20 f8000f84 92000000 837ddc00 0f888800  .........}......
 0f30 0000488b 45e88b40 083945dc 7d7c837d  ..H.E..@.9E.}|.}
 0f40 d8007876 488b45e8 8b400c39 45d87d6a  ..xvH.E..@.9E.}j
 0f50 488b45f8 4889c7e8 00000000 89c18b55  H.E.H..........U
 0f60 d88b75dc 488b45e8 4889c7e8 00000000  ..u.H.E.H.......
 0f70 84c07546 488b45f8 488b0048 83c01848  ..uFH.E.H..H...H
 0f80 8b008b55 d88b75dc 488b4df8 4889cfff  ...U..u.H.M.H...
 0f90 d083f001 84c07522 8b7dd88b 4ddc8b55  ......u".}..M..U
 0fa0 e08b75e4 488b45e8 4189f848 89c7e800  ..u.H.E.A..H....
 0fb0 00000083 f00184c0 7407b801 000000eb  ........t.......
 0fc0 05b80000 000084c0 7407b800 000000eb  ........t.......
 0fd0 05b80100 0000c9c3 554889e5 534883ec  ........UH..SH..
 0fe0 5848897d a88975a4 8955a048 8b45a848  XH.}..u..U.H.E.H
 0ff0 8d50188b 45a44898 4889c648 89d7e800  .P..E.H.H..H....
 1000 00000048 89c28b45 a0489848 89c64889  ...H...E.H.H..H.
 1010 d7e80000 0000488b 00488945 e848837d  ......H..H.E.H.}
 1020 e800750a bb000000 00e9ca00 0000488b  ..u...........H.
 1030 45e84889 c7e80000 000085c0 750a488b  E.H.........u.H.
 1040 45a84883 c048eb08 488b45a8 4883c030  E.H..H..H.E.H..0
 1050 488d55c0 4889c648 89d7e800 00000048  H.U.H..H.......H
 1060 8d45c048 8945e048 8b45e048 89c7e800  .E.H.E.H.E.H....
 1070 00000048 8945b848 8b45e048 89c7e800  ...H.E.H.E.H....
 1080 00000048 8945b048 8d55b048 8d45b848  ...H.E.H.U.H.E.H
 1090 89d64889 c7e80000 000084c0 7449488d  ..H.........tIH.
 10a0 45b84889 c7e80000 0000488b 00488945  E.H.......H..H.E
 10b0 d8488b45 d8488b00 4883c018 488b008b  .H.E.H..H...H...
 10c0 55a08b75 a4488b4d d84889cf ffd084c0  U..u.H.M.H......
 10d0 7407bb01 000000eb 13488d45 b84889c7  t........H.E.H..
 10e0 e8000000 00eba0bb 00000000 488d45c0  ............H.E.
 10f0 4889c7e8 00000000 89d8eb1a 4889c348  H...........H..H
 1100 8d45c048 89c7e800 00000048 89d84889  .E.H.......H..H.
 1110 c7e80000 00004883 c4585b5d c3905548  ......H..X[]..UH
 1120 89e55348 81ecc800 00004889 bd48ffff  ..SH......H..H..
 1130 ff89b544 ffffff89 9540ffff ff898d3c  ...D.....@.....<
 1140 ffffff44 898538ff ffff488b 8548ffff  ...D..8...H..H..
 1150 ff488d50 188b8544 ffffff48 984889c6  .H.P...D...H.H..
 1160 4889d7e8 00000000 4889c28b 8540ffff  H.......H....@..
 1170 ff489848 89c64889 d7e80000 0000488b  .H.H..H.......H.
 1180 00488945 e848837d e800750a bb000000  .H.E.H.}..u.....
 1190 00e9fb00 0000488b 9548ffff ff488d85  ......H..H...H..
 11a0 70ffffff 4889d648 89c7e800 0000008b  p...H..H........
 11b0 bd38ffff ff8b8d3c ffffff8b 9540ffff  .8.....<.....@..
 11c0 ff8bb544 ffffff48 8d8570ff ffff4189  ...D...H..p...A.
 11d0 f84889c7 e8000000 00488b45 e84889c7  .H.......H.E.H..
 11e0 e8000000 0085c075 06488b45 d0eb0448  .......u.H.E...H
 11f0 8b45d848 8945e048 8b45e848 89c7e800  .E.H.E.H.E.H....
 1200 00000085 c0750d48 8d8570ff ffff4883  .....u.H..p...H.
 1210 c030eb0b 488d8570 ffffff48 83c04848  .0..H..p...H..HH
 1220 8d9550ff ffff4889 c64889d7 e8000000  ..P...H..H......
 1230 0048837d e0007507 bb010000 00eb3448  .H.}..u.......4H
 1240 8b45e048 89c7e800 00000089 c3488b45  .E.H.........H.E
 1250 e04889c7 e8000000 0089c148 8d8570ff  .H.........H..p.
 1260 ffff89da 89ce4889 c7e80000 000083f0  ......H.........
 1270 0189c348 8d8550ff ffff4889 c7e80000  ...H..P...H.....
 1280 0000488d 8570ffff ff4889c7 e8000000  ..H..p...H......
 1290 0089d8eb 314889c3 488d8550 ffffff48  ....1H..H..P...H
 12a0 89c7e800 000000eb 034889c3 488d8570  .........H..H..p
 12b0 ffffff48 89c7e800 00000048 89d84889  ...H.......H..H.
 12c0 c7e80000 00004881 c4c80000 005b5dc3  ......H......[].
 12d0 554889e5 534883ec 3848897d c8488975  UH..SH..8H.}.H.u
 12e0 c0488b45 c8be1000 00004889 c7e80000  .H.E......H.....
 12f0 0000488b 45c8be00 00000048 89c7e800  ..H.E......H....
 1300 000000c7 45ec0000 0000488b 45c08b40  ....E.....H.E..@
 1310 0c3945ec 7d17488b 45c88b55 ec89d648  .9E.}.H.E..U...H
 1320 89c7e800 00000083 45ec01eb dd488b45  ........E....H.E
 1330 c8be0000 00004889 c7e80000 0000be00  ......H.........
 1340 00000048 89c7e800 000000c7 45e80000  ...H........E...
 1350 0000488b 45c08b40 0c3945e8 7d17488b  ..H.E..@.9E.}.H.
 1360 45c8be00 00000048 89c7e800 00000083  E......H........
 1370 45e801eb dd488b45 c8be0000 00004889  E....H.E......H.
 1380 c7e80000 0000c745 e4000000 00488b45  .......E.....H.E
 1390 c08b4008 3945e40f 8dc40000 00488b45  ..@.9E.......H.E
 13a0 c88b55e4 89d64889 c7e80000 0000be00  ..U...H.........
 13b0 00000048 89c7e800 000000c7 45e00000  ...H........E...
 13c0 0000488b 45c08b40 0c3945e0 7d6c488b  ..H.E..@.9E.}lH.
 13d0 45c0488d 50188b45 e4489848 89c64889  E.H.P..E.H.H..H.
 13e0 d7e80000 00004889 c28b45e0 48984889  ......H...E.H.H.
 13f0 c64889d7 e8000000 00488b00 488945d0  .H.......H..H.E.
 1400 488b5dc8 48837dd0 00741948 8b45d048  H.].H.}..t.H.E.H
 1410 8b004883 c020488b 00488b55 d04889d7  ..H.. H..H.U.H..
 1420 ffd0eb05 b8000000 004889c6 4889dfe8  .........H..H...
 1430 00000000 8345e001 eb88488b 45c8be00  .....E....H.E...
 1440 00000048 89c7e800 000000be 00000000  ...H............
 1450 4889c7e8 00000000 8345e401 e92cffff  H........E...,..
 1460 ff488b45 c8be0000 00004889 c7e80000  .H.E......H.....
 1470 0000c745 dc000000 00488b45 c08b400c  ...E.....H.E..@.
 1480 3945dc7d 17488b45 c8be0000 00004889  9E.}.H.E......H.
 1490 c7e80000 00008345 dc01ebdd 488b45c8  .......E....H.E.
 14a0 be000000 004889c7 e8000000 00be0000  .....H..........
 14b0 00004889 c7e80000 0000eb1a 4889c348  ..H.........H..H
 14c0 8b45c848 89c7e800 00000048 89d84889  .E.H.......H..H.
 14d0 c7e80000 0000488b 45c84883 c4385b5d  ......H.E.H..8[]
 14e0 c3905548 89e54883 ec304889 7dd84889  ..UH..H..0H.}.H.
 14f0 75d0488b 45d84889 c7e80000 00004889  u.H.E.H.......H.
 1500 45f8488b 45d84889 c7e80000 00004889  E.H.E.H.......H.
 1510 45f0488d 55f0488d 45f84889 d64889c7  E.H.U.H.E.H..H..
 1520 e8000000 0084c074 53488b45 f8488945  .......tSH.E.H.E
 1530 e8488d45 e84889c7 e8000000 00488d45  .H.E.H.......H.E
 1540 f84889c7 e8000000 00488b10 488d45d0  .H.......H..H.E.
 1550 4889d648 89c7e881 f5ffff84 c0741348  H..H.........t.H
 1560 8b55f848 8b45d848 89d64889 c7e80000  .U.H.E.H..H.....
 1570 0000488b 45e84889 45f8eb96 90c9c390  ..H.E.H.E.......
 1580 554889e5 48897df8 488975f0 8955ec89  UH..H.}.H.u..U..
 1590 4de84489 45e4ba00 00000048 8b45f848  M.D.E......H.E.H
 15a0 8910488b 45f8488b 55f04889 5008488b  ..H.E.H.U.H.P.H.
 15b0 45f88b55 ec895010 488b45f8 8b55e889  E..U..P.H.E..U..
 15c0 5018488b 45f88b55 e489501c 905dc390  P.H.E..U..P..]..
 15d0 554889e5 48897df8 488b45f8 8b40105d  UH..H.}.H.E..@.]
 15e0 c3905548 89e54889 7df8488b 45f88b40  ..UH..H.}.H.E..@
 15f0 145dc390 554889e5 48897df8 488b45f8  .]..UH..H.}.H.E.
 1600 8b40185d c3905548 89e54889 7df8488b  .@.]..UH..H.}.H.
 1610 45f88b40 1c5dc390 554889e5 48897df8  E..@.]..UH..H.}.
 1620 8975f489 55f0488b 45f88b55 f4895018  .u..U.H.E..U..P.
 1630 488b45f8 8b55f089 501c905d c3905548  H.E..U..P..]..UH
 1640 89e54883 ec204889 7df84889 75f08955  ..H.. H.}.H.u..U
 1650 ec894de8 448945e4 488b45f8 8b7de48b  ..M.D.E.H.E..}..
 1660 4de88b55 ec488b75 f04189f8 4889c7e8  M..U.H.u.A..H...
 1670 00000000 ba000000 00488b45 f8488910  .........H.E.H..
 1680 488b45f8 c7401403 00000090 c9c35548  H.E..@........UH
 1690 89e54889 7df88975 f48955f0 488b45f8  ..H.}..u..U.H.E.
 16a0 8b40182b 45f49931 d029d083 f8017f14  .@.+E..1.)......
 16b0 488b45f8 8b401c2b 45f09931 d029d083  H.E..@.+E..1.)..
 16c0 f8017e07 b8000000 00eb05b8 01000000  ..~.............
 16d0 5dc35548 89e54889 7df8488b 45f88b40  ].UH..H.}.H.E..@
 16e0 1083f801 7507b800 000000eb 05b80000  ....u...........
 16f0 00005dc3 554889e5 4883ec20 48897df8  ..].UH..H.. H.}.
 1700 488975f0 8955ec89 4de84489 45e4488b  H.u..U..M.D.E.H.
 1710 45f88b7d e48b4de8 8b55ec48 8b75f041  E..}..M..U.H.u.A
 1720 89f84889 c7e80000 0000ba00 00000048  ..H............H
 1730 8b45f848 8910488b 45f8c740 14000000  .E.H..H.E..@....
 1740 0090c9c3 554889e5 4883ec10 48897df8  ....UH..H...H.}.
 1750 8975f489 55f0488b 45f8488b 40088b55  .u..U.H.E.H.@..U
 1760 f08b4df4 89ce4889 c7e80000 000083f0  ..M...H.........
 1770 0184c075 3d488b45 f88b4010 85c07513  ...u=H.E..@...u.
 1780 488b45f8 8b40188b 55f429c2 89d083f8  H.E..@..U.).....
 1790 01751f48 8b45f88b 401083f8 01751a48  .u.H.E..@....u.H
 17a0 8b45f88b 40188b55 f429c289 d083f8ff  .E..@..U.)......
 17b0 7407b801 000000eb 05b80000 000084c0  t...............
 17c0 7407b800 000000eb 05b80100 0000c9c3  t...............
 17d0 554889e5 534883ec 1848897d e88975e4  UH..SH...H.}..u.
 17e0 488b45e8 488b4008 488b55e8 8b521c8b  H.E.H.@.H.U..R..
 17f0 4de489ce 4889c7e8 00000000 84c0740a  M...H.........t.
 1800 b8000000 00e94e01 0000488b 45e88b40  ......N...H.E..@
 1810 1085c00f 85920000 00488b45 e88b4018  .........H.E..@.
 1820 8b55e429 c289d083 f801741d 488b45e8  .U.)......t.H.E.
 1830 8b40188b 55e429c2 89d083f8 02740ab8  .@..U.)......t..
 1840 00000000 e90f0100 00488b45 e88b4018  .........H.E..@.
 1850 8b55e429 c289d083 f8020f85 f3000000  .U.)............
 1860 488b45e8 8b401883 f801740a b8000000  H.E..@....t.....
 1870 00e9e200 0000488b 45e8488b 4008488b  ......H.E.H.@.H.
 1880 55e88b52 1c488b4d e88b4918 83c10189  U..R.H.M..I.....
 1890 ce4889c7 e8000000 0084c00f 84b20000  .H..............
 18a0 00b80000 0000e9ad 00000048 8b45e88b  ...........H.E..
 18b0 401083f8 010f8598 00000048 8b45e88b  @..........H.E..
 18c0 40188b55 e429c289 d083f8ff 741a488b  @..U.)......t.H.
 18d0 45e88b40 188b55e4 29c289d0 83f8fe74  E..@..U.)......t
 18e0 07b80000 0000eb70 488b45e8 8b40188b  .......pH.E..@..
 18f0 55e429c2 89d083f8 fe755848 8b45e88b  U.)......uXH.E..
 1900 5818488b 45e8488b 40084889 c7e80000  X.H.E.H.@.H.....
 1910 000083e8 0239c30f 95c084c0 7407b800  .....9......t...
 1920 000000eb 33488b45 e8488b40 08488b55  ....3H.E.H.@.H.U
 1930 e88b521c 488b4de8 8b491883 e90189ce  ..R.H.M..I......
 1940 4889c7e8 00000000 84c07407 b8000000  H.........t.....
 1950 00eb05b8 01000000 4883c418 5b5dc390  ........H...[]..
 1960 554889e5 4883ec10 48897df8 8975f489  UH..H...H.}..u..
 1970 55f0488b 45f88b40 1c3945f0 751f488b  U.H.E..@.9E.u.H.
 1980 45f88b40 183945f4 74138b55 f4488b45  E..@.9E.t..U.H.E
 1990 f889d648 89c7e800 000000eb 47488b45  ...H........GH.E
 19a0 f88b4018 2b45f489 c1c1f91f 31c889c2  ..@.+E......1...
 19b0 29ca488b 45f88b40 1c2b45f0 89c1c1f9  ).H.E..@.+E.....
 19c0 1f31c829 c839c275 168b55f0 8b4df448  .1.).9.u..U..M.H
 19d0 8b45f889 ce4889c7 e8000000 00eb05b8  .E...H..........
 19e0 00000000 c9c35548 89e54889 7df8488b  ......UH..H.}.H.
 19f0 45f88b40 1083f801 7507b800 000000eb  E..@....u.......
 1a00 05b80000 00005dc3 554889e5 4883ec20  ......].UH..H.. 
 1a10 48897df8 488975f0 8955ec89 4de84489  H.}.H.u..U..M.D.
 1a20 45e4488b 45f88b7d e48b4de8 8b55ec48  E.H.E..}..M..U.H
 1a30 8b75f041 89f84889 c7e80000 0000ba00  .u.A..H.........
 1a40 00000048 8b45f848 8910488b 45f8c740  ...H.E.H..H.E..@
 1a50 14010000 0090c9c3 554889e5 4883ec20  ........UH..H.. 
 1a60 48897de8 8975e448 8b45e88b 40183945  H.}..u.H.E..@.9E
 1a70 e47e07b8 01000000 eb05b8ff ffffff89  .~..............
 1a80 45f8488b 45e88b50 188b45f8 01d08945  E.H.E..P..E....E
 1a90 fc8b45fc 3b45e474 2f488b45 e8488b40  ..E.;E.t/H.E.H.@
 1aa0 08488b55 e88b521c 8b4dfc89 ce4889c7  .H.U..R..M...H..
 1ab0 e8000000 0084c074 07b80000 0000eb0d  .......t........
 1ac0 8b45f801 45fcebc9 b8010000 00c9c390  .E..E...........
 1ad0 554889e5 4883ec20 48897de8 8975e448  UH..H.. H.}..u.H
 1ae0 8b45e88b 401c3945 e47e07b8 01000000  .E..@.9E.~......
 1af0 eb05b8ff ffffff89 45f8488b 45e88b50  ........E.H.E..P
 1b00 1c8b45f8 01d08945 fc8b45fc 3b45e474  ..E....E..E.;E.t
 1b10 2f488b45 e8488b40 08488b55 e88b4a18  /H.E.H.@.H.U..J.
 1b20 8b55fc89 ce4889c7 e8000000 0084c074  .U...H.........t
 1b30 07b80000 0000eb0d 8b45f801 45fcebc9  .........E..E...
 1b40 b8010000 00c9c390 554889e5 4883ec10  ........UH..H...
 1b50 48897df8 8975f489 55f0488b 45f88b40  H.}..u..U.H.E..@
 1b60 1c3945f0 751f488b 45f88b40 183945f4  .9E.u.H.E..@.9E.
 1b70 74138b55 f4488b45 f889d648 89c7e800  t..U.H.E...H....
 1b80 000000eb 30488b45 f88b4018 3945f475  ....0H.E..@.9E.u
 1b90 1f488b45 f88b401c 3945f074 138b55f0  .H.E..@.9E.t..U.
 1ba0 488b45f8 89d64889 c7e80000 0000eb05  H.E...H.........
 1bb0 b8000000 00c9c390 554889e5 48897df8  ........UH..H.}.
